date,giadieuchinh,close,thaydoi,volumn,gtkhoplenh,klthoathuan,gtthoathuan,giathamchieu,open,max,min,adj
2018-03-05,8.78,11.1,-0.30 (-2.63 %),15800,179910000,0,0,11.4,11.5,11.5,11.1,8.56
2018-03-06,8.86,11.5,0.10 (0.88 %),1400,16100000,0,0,11.4,11.5,11.5,11.5,8.86
2018-03-07,8.84,11.5,0.00 (0.00 %),2500,28670000,0,0,11.5,11.1,11.5,11.1,8.86
2018-03-08,9.21,12,0.50 (4.35 %),14800,176800000,0,0,11.5,11.5,12,11.5,9.25
2018-03-09,9.1,11.6,-0.30 (-2.52 %),200,2360000,0,0,11.9,12,12,11.6,8.94
2018-03-12,9.1,11.8,0.00 (0.00 %),0,0,0,0,11.8,11.8,11.8,11.8,9.1
2018-03-13,8.87,11.2,-0.60 (-5.08 %),19100,219670000,0,0,11.8,11.2,11.9,11.2,8.63
2018-03-14,8.48,11,-0.50 (-4.35 %),100,1100000,0,0,11.5,11,11,11,8.48
2018-03-15,8.25,10.7,-0.30 (-2.73 %),100,1070000,0,0,11,10.7,10.7,10.7,8.25
2018-03-16,8.25,10.7,0.00 (0.00 %),1000,10700000,0,0,10.7,10.7,10.7,10.7,8.25
2018-03-19,8.25,10.7,0.00 (0.00 %),0,0,0,0,10.7,10.7,10.7,10.7,8.25
2018-03-20,8.9,11.9,1.20 (11.21 %),4100,47350000,0,0,10.7,11,11.9,11,9.17
2018-03-21,8.71,11.3,-0.20 (-1.74 %),1000,11300000,0,0,11.5,11.3,11.3,11.3,8.71
2018-03-22,8.71,11.3,0.00 (0.00 %),0,0,0,0,11.3,11.3,11.3,11.3,8.71
2018-03-23,8.17,11.5,0.20 (1.77 %),200,2120000,0,0,11.3,9.7,11.5,9.7,8.86
2018-03-26,8.17,10.6,0.00 (0.00 %),0,0,0,0,10.6,10.6,10.6,10.6,8.17
2018-03-27,8.17,10.6,0.00 (0.00 %),0,0,0,0,10.6,10.6,10.6,10.6,8.17
2018-03-28,8.67,11.5,0.90 (8.49 %),4000,45000000,0,0,10.6,11,11.5,11,8.86
2018-03-29,8.71,11.3,0.00 (0.00 %),0,0,0,0,11.3,11.3,11.3,11.3,8.71
2018-03-30,9.07,12,0.70 (6.19 %),300,3530000,0,0,11.3,11.5,12,11.5,9.25
2018-04-02,8.49,11,-0.80 (-6.78 %),4800,52880000,0,0,11.8,11.8,11.8,11,8.48
2018-04-03,9.21,12,1.00 (9.09 %),200,2390000,0,0,11,11.9,12,11.9,9.25
2018-04-04,9.25,12,0.00 (0.00 %),1200,14400000,0,0,12,12,12,12,9.25
2018-04-05,10.36,13.8,1.80 (15.00 %),48500,651670000,0,0,12,12,13.8,12,10.64
2018-04-06,10.87,14.1,0.70 (5.22 %),100,1410000,0,0,13.4,14.1,14.1,14.1,10.87
2018-04-09,10.87,14.1,0.00 (0.00 %),2700,38070000,0,0,14.1,14.1,14.1,14.1,10.87
2018-04-10,10.75,14.1,0.00 (0.00 %),200,2790000,0,0,14.1,13.8,14.1,13.8,10.87
2018-04-11,10.71,13.9,-0.10 (-0.71 %),2400,33360000,0,0,14,13.9,13.9,13.9,10.71
2018-04-12,10.42,13.5,-0.40 (-2.88 %),1700,22970000,0,0,13.9,13.5,13.7,13.5,10.41
2018-04-13,10.41,13.5,0.00 (0.00 %),0,0,0,0,13.5,13.5,13.5,13.5,10.41
2018-04-16,10.41,13.5,0.00 (0.00 %),0,0,0,0,13.5,13.5,13.5,13.5,10.41
2018-04-17,11.18,14.5,1.00 (7.41 %),300,4350000,0,0,13.5,14.5,14.5,14.5,11.18
2018-04-18,11.18,14.5,0.00 (0.00 %),0,0,0,0,14.5,14.5,14.5,14.5,11.18
2018-04-19,10.48,13.5,-1.00 (-6.90 %),1100,14950000,0,0,14.5,14.5,14.5,13.5,10.41
2018-04-20,10.41,13.5,-0.10 (-0.74 %),400,5400000,0,0,13.6,13.5,13.5,13.5,10.41
2018-04-23,10.41,13.5,0.00 (0.00 %),0,0,0,0,13.5,13.5,13.5,13.5,10.41
2018-04-24,10.41,13.5,0.00 (0.00 %),0,0,0,0,13.5,13.5,13.5,13.5,10.41
2018-04-26,9.64,12.5,-1.00 (-7.41 %),100,1250000,0,0,13.5,12.5,12.5,12.5,9.64
2018-04-27,9.64,12.5,0.00 (0.00 %),0,0,0,0,12.5,12.5,12.5,12.5,9.64
2018-05-02,9.64,12.5,0.00 (0.00 %),0,0,0,0,12.5,12.5,12.5,12.5,9.64
2018-05-03,9.64,12.5,0.00 (0.00 %),0,0,0,0,12.5,12.5,12.5,12.5,9.64
2018-05-04,9.64,12.5,0.00 (0.00 %),200,2500000,0,0,12.5,12.5,12.5,12.5,9.64
2018-05-07,9.64,12.5,0.00 (0.00 %),100,1250000,0,0,12.5,12.5,12.5,12.5,9.64
2018-05-08,9.64,12.5,0.00 (0.00 %),500,6250000,0,0,12.5,12.5,12.5,12.5,9.64
2018-05-09,9.64,12.5,0.00 (0.00 %),0,0,0,0,12.5,12.5,12.5,12.5,9.64
2018-05-10,9.64,12.5,0.00 (0.00 %),0,0,0,0,12.5,12.5,12.5,12.5,9.64
2018-05-11,9.64,12.5,0.00 (0.00 %),0,0,0,0,12.5,12.5,12.5,12.5,9.64
2018-05-14,9.4,12.2,-0.30 (-2.40 %),200,2440000,0,0,12.5,12.2,12.2,12.2,9.4
2018-05-15,10.1,12.3,0.10 (0.82 %),300,3930000,0,0,12.2,13.5,13.5,12.3,9.48
2018-05-16,10.41,13.5,0.40 (3.05 %),400,5400000,0,0,13.1,13.5,13.5,13.5,10.41
2018-05-17,10.41,13.5,0.00 (0.00 %),0,0,0,0,13.5,13.5,13.5,13.5,10.41
2018-05-18,10.41,13.5,0.00 (0.00 %),0,0,0,0,13.5,13.5,13.5,13.5,10.41
2018-05-21,10.41,13.5,0.00 (0.00 %),0,0,0,0,13.5,13.5,13.5,13.5,10.41
2018-05-22,10.41,13.5,0.00 (0.00 %),0,0,0,0,13.5,13.5,13.5,13.5,10.41
2018-05-23,10.41,13.5,0.00 (0.00 %),0,0,0,0,13.5,13.5,13.5,13.5,10.41
2018-05-24,9.37,12.1,-1.40 (-10.37 %),200,2430000,0,0,13.5,12.2,12.2,12.1,9.33
2018-05-25,9.4,12.2,0.00 (0.00 %),0,0,0,0,12.2,12.2,12.2,12.2,9.4
2018-05-28,10.02,13,0.80 (6.56 %),100,1300000,0,0,12.2,13,13,13,10.02
2018-05-29,10.02,13,0.00 (0.00 %),0,0,0,0,13,13,13,13,10.02
